vendor,legal_name,entities,category,federal_tax_classification,tax_address_on_file,contacts,active,spend_all_time,spend_365d,ramp_vendor_uuids
Uber,,FL|TN|TX,Taxi and Rideshare,,,0,yes,3255.22,3255.22,c2a74d2d-cc64-4d6a-8212-000ea6e773c5|e6c134ac-c864-43ad-9887-a514ad26a27a|012d3af8-709a-4275-b49c-24a4448b7ac4
The Home Depot,,FL|TN,General Merchandise,,,0,yes,3249.89,3249.89,9e5be742-cbd8-4018-a91c-ddc878f6dc5d|956e5d1c-87fe-4d7d-bbdb-591d822eb6bb
"LAST NAME ROTH MEDIA, LLC.",James Roth,FL,Advertising,INDIVIDUAL_SOLE_PROPRIETOR_SINGLE_MEMBER_LLC,YES,1,yes,3247.50,3247.50,d6ecb458-aeb1-4672-88f8-0e02d3088d8c
United,,TN|TX,Airlines,,,0,yes,3054.17,3054.17,60f555df-0d29-471d-bab9-1d46fbe1973b|0ef1b2be-c0b6-42f3-8eed-c06197d560b6
"Pharmsource, LL-Autopay","PHARMSOURCE, LLC",TN,Medical,LLC_PARTNERSHIP,YES,1,yes,3049.30,3049.30,f22ebcb3-bffa-4abe-beac-9706fdb64a12
Speedway,,FL|TN,Fuel and Gas,,,0,yes,3031.24,3031.24,6d3b68b7-9225-4216-b89c-f89c71f38f75|d8de7777-0c1e-4c4a-b724-53c3a3c30a6a
"Stericycle, Inc. - AutoPay",,FL|TN,"Freight, Moving and Delivery Services",,YES,4,yes,2935.81,2935.81,9184b374-02a9-41d2-ac91-8469cf04018b|14a6d910-79c7-4368-a1b8-d984bcfe6085|5aa8180c-4e2c-4ce7-a9cc-cbb1d1ef7930
City Barbeque,,TN,Restaurants,,,0,yes,2778.05,2778.05,67562dc7-4264-40c3-b8e7-bce3b09af921
Expedia,,FL|TN|TX,Travel Misc,,,0,yes,2776.93,2776.93,69ba45a3-2262-46aa-a118-1d4380d89a42|c19cf607-be4e-499d-bc39-a4f4d5e40311|85614c66-60b3-47dd-aa05-1e303ead053f
Sara Glove Company,,FL,General Merchandise,,,1,yes,2768.29,2768.29,9c87f864-a5b0-4087-aed2-36a4b001a773
Hertz,,FL|TN,Car Rental,,,0,yes,2751.13,2751.13,32cb9aee-2ced-40a2-9d12-ba106b93268b|a6c6e5f2-9a08-46d7-b40e-e6237813d070
SpringHill Suites,,FL|TN|TX,Lodging,,,0,yes,2738.48,2738.48,00151fc6-662f-4211-a1d4-2b1320b2d18e|cf83ccb9-3919-4716-9352-3ce6081fcda7|2abb505c-5953-4e0d-8396-585f380cc63e
RXPESTLE,,FL,SaaS / Software,,,1,yes,2700.00,2700.00,346d0fa2-77f4-459a-bfb9-ff3922020eb1
Newegg,,FL|TN,General Merchandise,,,0,yes,2609.56,2609.56,b12d4899-3697-4d47-97f4-cc4100d77a12|8c5d1a0e-90c1-40bb-8ed8-30988b262241
Rohrer,,FL,Advertising,,,1,yes,2500.00,2500.00,97a65579-a3e6-4f92-9e9b-8d057efb56a0
PCLiquidations.com,,FL|TN|TX,Electronics,,,2,yes,2489.19,2489.19,93771207-865e-4454-adba-5cb79ac93e35|22a61808-6365-4b5a-9d99-ae986f148f94|5a9d8dc7-49f9-489f-807f-c5dc6f203e14
Meds,,FL,Medical,,,0,yes,2457.64,2457.64,2215242e-4649-4111-b1b3-166c542dda05
Sugarfina,,FL,General Merchandise,,,0,yes,2457.28,2457.28,dcf85a40-4331-4c50-bad3-e78eaaaab18c
W W Grainger,,FL|TN,Other,,,2,yes,2452.59,2452.59,6bfbe9c9-cb48-45c8-bb44-0710466fcc85|cb6eff7d-ba99-4921-989d-9625b249d2e3
Chef Point Bar & Restaurant,,FL,Restaurants,,,0,yes,2431.76,2431.76,143deab5-57c1-4b94-b110-fc694d27736f
