vendor,category,spend_all_time,spend_365d,entities,in_qbo,qbo_1099_flagged,qbo_email
FIRST in Texas,Charitable donations,10000.00,10000.00,FL|TX,yes,no,
www.b12.io,Government Services,10000.00,10000.00,FL,yes,no,
Making Cosmetics,Other,9763.15,9763.15,FL|TN,yes,no,
Shell,Fuel and Gas,9215.47,9215.47,FL|TN|TX,yes,no,
TXU Energy,Utilities,9188.03,9188.03,FL,yes,no,
QDOBA Mexican Eats,Restaurants,8944.11,8944.11,TN,yes,no,
Pura Vida Miami,Restaurants,8566.86,8566.86,FL,yes,no,
The Webstaurant Store,General Merchandise,8381.01,8381.01,FL,yes,no,help@webstaurantstore.com
Alibaba,General Merchandise,7779.50,7779.50,TN|TX,yes,no,2553057205@qq.com
KT Advisory Services,Taxes and tax preparation,7748.50,7748.50,FL|TN,yes,no,kristi@ktcpallc.com
Southwest Airlines,Airlines,7497.36,7497.36,FL|TN|TX,yes,no,
Intuit,Taxes and tax preparation,7422.01,7422.01,FL|TN,yes,no,
Hillsborough Tax Collector,Taxes and tax preparation,7303.26,7303.26,FL,yes,no,
Starbucks,Restaurants,7301.71,7301.71,FL|TN|TX,yes,no,
Chipotle,Restaurants,6649.49,6649.49,FL|TN|TX,yes,no,
Hilton Hotels,Lodging,6555.77,6555.77,FL|TN|TX,yes,no,
AX Pharmaceutical Corp - Autopay-ACH (Fl),Medical,6300.00,6300.00,TX,yes,no,nolan.pece@axpharmaceutical.com
Nothing Bundt Cakes,Restaurants,5817.61,5817.61,FL|TN|TX,yes,no,
Anthropic,SaaS / Software,5780.87,5780.87,FL|TN,yes,no,
Extra Space Storage,Freight, Moving and Delivery Services,5759.05,5759.05,FL,yes,no,
Uber Eats,Restaurants,5747.72,5747.72,FL|TN,yes,no,
Center for Dermatology NP PA,Professional Services,5555.00,5555.00,FL,yes,no,
Circle K,Fuel and Gas,5391.01,5391.01,FL|TN|TX,yes,no,
SpecializedRx,General Merchandise,5275.10,5275.10,FL|TN|TX,yes,no,ar@specializedrx.com
Connecticut Dermatology NP & PA,Medical,5200.00,5200.00,FL,yes,no,
Paypal Giving Fund,Charitable donations,5200.00,5200.00,FL,yes,no,
Amz Hyper,Electronics,5004.40,5004.40,FL|TN,yes,no,
Courtyard by Marriott,Lodging,4779.08,4779.08,FL|TN,yes,no,
QuikTrip,Fuel and Gas,4741.75,4741.75,FL|TN|TX,yes,no,
Integra CE Services,Other,4682.63,4682.63,TN,yes,no,AR@integratesting.com
Allegiant,Airlines,4538.58,4538.58,FL|TN,yes,no,
ELEC POWER BOARD,Utilities,4456.45,4456.45,TN,no,no,
Exxon,Fuel and Gas,4346.15,4346.15,FL|TN|TX,yes,no,
Delta Air Lines,Airlines,4289.44,4289.44,FL|TN,yes,no,
Brio Italian Grille,Restaurants,4276.45,4276.45,FL,yes,no,
Google Workspace,SaaS / Software,4186.49,4186.49,FL,yes,no,
Pure Dermatology,Clubs and memberships,4000.00,4000.00,FL,yes,no,
Amazon Web Services,Cloud Computing,3849.84,3849.84,TN,yes,no,
Paksouth Charleston LLC,Professional Services,3840.00,3840.00,FL,yes,no,accounts.receivable@paksouth.com
Marriott,Lodging,3824.28,3824.28,FL|TN|TX,yes,no,
"HALO Branded Solutions, Inc",Advertising,3718.43,3718.43,FL,yes,no,remittances@halo.com
Supply Partners,General Merchandise,3609.24,3609.24,TN,yes,no,billing@supply.partners
ALTOUR International,Travel Misc,3500.00,3500.00,FL,yes,no,
Protouch Staffing,Office,3324.02,3324.02,FL|TX,yes,no,
7-Eleven,Fuel and Gas,3303.77,3303.77,FL|TN|TX,yes,no,
Home 2 Suites by Hilton,Lodging,3287.28,3287.28,FL|TN|TX,yes,no,
Uber,Taxi and Rideshare,3255.22,3255.22,FL|TN|TX,yes,no,
The Home Depot,General Merchandise,3249.89,3249.89,FL|TN,yes,no,
United,Airlines,3054.17,3054.17,TN|TX,yes,no,
Speedway,Fuel and Gas,3031.24,3031.24,FL|TN,yes,no,
City Barbeque,Restaurants,2778.05,2778.05,TN,yes,no,
Expedia,Travel Misc,2776.93,2776.93,FL|TN|TX,yes,no,
Sara Glove Company,General Merchandise,2768.29,2768.29,FL,yes,no,info@saraglove.com
Hertz,Car Rental,2751.13,2751.13,FL|TN,yes,no,
SpringHill Suites,Lodging,2738.48,2738.48,FL|TN|TX,yes,no,
RXPESTLE,SaaS / Software,2700.00,2700.00,FL,yes,no,jerry@rxpestle.com
Newegg,General Merchandise,2609.56,2609.56,FL|TN,yes,no,
Meds,Medical,2457.64,2457.64,FL,yes,no,
Sugarfina,General Merchandise,2457.28,2457.28,FL,yes,no,
W W Grainger,Other,2452.59,2452.59,FL|TN,yes,no,customer_care@ic.graingeremail.com
Chef Point Bar & Restaurant,Restaurants,2431.76,2431.76,FL,yes,no,
The Vial Store,General Merchandise,2415.55,2415.55,FL|TN|TX,yes,no,chris@thevialstore.com
Fairfield Inn & Suites,Lodging,2302.05,2302.05,FL|TN,yes,no,
BP,Fuel and Gas,2280.78,2280.78,FL|TN,yes,no,
RaceTrac,Fuel and Gas,2214.24,2214.24,FL|TN,yes,no,
TXU Texas Electric,Utilities,2153.80,2153.80,TX,yes,no,uexec@txu.com
Ncourt Madhpl License,Government Services,2124.60,2124.60,TN,yes,no,
"Jams Wholesale, LLC",General Merchandise,2124.57,2124.57,TN,yes,no,accounting@jamsrx.com
Microsoft,SaaS / Software,2084.29,2084.29,FL,yes,no,
MakingCosmetics Inc.,Other,2043.78,2043.78,TX,yes,no,
MPS,General Merchandise,2025.00,2025.00,FL,no,no,
Garrett Brands,Supermarkets and Grocery Stores,2017.16,2017.16,TN,yes,no,
Panera Bread,Restaurants,2009.35,2009.35,FL|TN|TX,yes,no,
Text Request,SaaS / Software,1998.62,1998.62,FL,yes,no,
Thrifty,Car Rental,1986.28,1986.28,FL|TN,yes,no,
Frontier,Airlines,1971.26,1971.26,FL|TN,yes,no,
U-Haul,Car Rental,1968.85,1968.85,FL,yes,no,
Hctra,Travel Misc,1913.22,1913.22,FL|TX,yes,no,
Olive Garden,Restaurants,1855.78,1855.78,FL|TN,yes,no,
Dave & Buster's,Restaurants,1830.08,1830.08,FL|TN,yes,no,
Articulate,SaaS / Software,1749.00,1749.00,FL,yes,no,
NTTA,Travel Misc,1728.78,1728.78,FL,yes,no,
Rodizio Grill,Restaurants,1679.47,1679.47,TN,no,no,
FREEDOMPARK,Taxi and Rideshare,1652.51,1652.51,FL|TN,yes,no,
Kroger,Supermarkets and Grocery Stores,1612.06,1612.06,FL|TN,yes,no,
Lexium PLLC,Legal,1608.11,1608.11,FL,no,no,
Hilton Garden Inn,Lodging,1603.38,1603.38,FL|TN|TX,yes,no,
Container and Packaging,General Merchandise,1565.96,1565.96,FL|TX,yes,no,customerservice@containers.com
Chattanooga Gas Company,Utilities,1521.64,1521.64,TN,no,no,
Lowe's,General Merchandise,1520.42,1520.42,FL|TX,yes,no,
Fedex,Shipping,1520.16,1520.16,FL|TN|TX,yes,no,
Avis Rent A Car,Car Rental,1491.20,1491.20,FL|TN,yes,no,
Sheetz,Fuel and Gas,1447.27,1447.27,TN,yes,no,
Enterprise,Car Rental,1447.12,1447.12,FL|TN|TX,yes,no,
Papa John's Pizza,Restaurants,1434.47,1434.47,FL|TN,yes,no,
Publix,Supermarkets and Grocery Stores,1428.22,1428.22,FL|TN,yes,no,
Target,General Merchandise,1386.68,1386.68,FL|TN|TX,yes,no,
Vevor,General Merchandise,1382.92,1382.92,FL|TN,yes,no,
Jersey Mike's Subs,Restaurants,1373.84,1373.84,FL|TN|TX,yes,no,
SARAGLOVE.COM,General Merchandise,1368.00,1368.00,FL,yes,no,info@saraglove.com
Craft Kafe,Restaurants,1328.10,1328.10,FL,yes,no,
Best Buy,Electronics,1317.08,1317.08,FL|TN|TX,yes,no,
Kalchem,Other,1305.00,1305.00,TX,yes,no,orders@kalcheminternational.com
Furniture Solutions Now,Office supplies and cleaning,1288.91,1288.91,TX,yes,no,
USPS,Shipping,1286.54,1286.54,FL|TN,yes,no,
Gate,Fuel and Gas,1275.48,1275.48,FL,yes,no,
Choice Hotels,Lodging,1272.98,1272.98,TN|TX,yes,no,
Chevron,Fuel and Gas,1267.11,1267.11,FL|TN|TX,yes,no,
Hotels.com,Lodging,1256.24,1256.24,FL,yes,no,
Orkin,Professional Services,1223.44,1223.44,FL,yes,no,branch688@rollins.com
L & N Label Company,Professional Services,1208.33,1208.33,FL,yes,no,accounting@lnlabel.com
Skin Type Solutions,General Merchandise,1189.35,1189.35,FL|TN,yes,no,support@skintypesolutions.com
Residence Inn,Lodging,1155.49,1155.49,FL|TN,yes,no,
Grainger Industrial Supply,General Merchandise,1115.58,1115.58,TX,yes,no,grainger@service.grainger.com
Tim Hortons,Restaurants,1106.53,1106.53,TN,yes,no,
Hotwire,Travel Misc,1104.81,1104.81,FL|TN|TX,yes,no,
"Fort Lauderdale, FL",General Merchandise,1095.64,1095.64,FL,yes,no,
Trattoria Il Panino,Restaurants,1081.20,1081.20,FL,yes,no,
Coopers Hawk Tripleseat Restaurant,Restaurants,1060.73,1060.73,TN,yes,no,
Doubletree By Hilton,Lodging,1054.91,1054.91,TN,yes,no,
Rhode Island Dept of Labor,Taxes and tax preparation,1047.73,1047.73,TN,yes,no,
CAVA,Restaurants,1043.65,1043.65,FL|TN|TX,yes,no,
Angelitos Cafe,Restaurants,1035.15,1035.15,FL,yes,no,
Autodesk,SaaS / Software,1021.46,1021.46,TN,yes,no,
Sheraton,Lodging,1005.80,1005.80,TN,no,no,
Chuy's,Restaurants,971.18,971.18,TX,yes,no,
Wawa,Fuel and Gas,967.80,967.80,FL|TN,yes,no,
Higbee & Associates,Legal,937.50,937.50,FL,yes,no,
Tropical Smoothie Cafe,Restaurants,936.25,936.25,FL|TN|TX,yes,no,
Ett,Parking,931.50,931.50,TN,yes,no,
"Wellgistics, LLC",Supermarkets and Grocery Stores,923.68,923.68,FL|TN,yes,no,
Staples,Office supplies and cleaning,918.16,918.16,FL|TN,yes,no,
Microsoft Office / Azure,SaaS / Software,911.40,911.40,FL,no,no,
Labconco Corporation,General Merchandise,906.71,906.71,TX,no,no,
Comcast,Utilities,902.40,902.40,TN,yes,no,
Airbnb,Lodging,900.98,900.98,FL|TN,yes,no,
"Houston, TX",Fuel and Gas,898.90,898.90,FL,yes,no,
Caribe Royale Orlando,Lodging,891.03,891.03,TN,yes,no,
Lyft,Taxi and Rideshare,883.74,883.74,FL|TN,yes,no,
Zaxby's,Restaurants,869.34,869.34,TN,yes,no,
Domino's Pizza,Restaurants,860.01,860.01,TN,yes,no,
ACE Rent A Car,Car Rental,858.44,858.44,TN|TX,yes,no,
BUC-EE'S,Fuel and Gas,847.82,847.82,FL|TN|TX,yes,no,
The Printer Depo,SaaS / Software,846.35,846.35,FL,yes,no,
Grand Hotel,Lodging,845.06,845.06,FL|TN|TX,yes,no,
Origin Hotel,Lodging,838.94,838.94,TN,yes,no,
Jason's Deli,Restaurants,831.80,831.80,FL,yes,no,
Dollar Rent A Car,Car Rental,817.44,817.44,FL|TN,yes,no,
Roth Staffing,Professional Services,811.88,811.88,FL,yes,no,
Westchase Pizza & Pasta,Restaurants,789.61,789.61,FL,yes,no,
Pita Way,Restaurants,783.51,783.51,TN,yes,no,
Booking.com,Travel Misc,781.39,781.39,FL|TN,yes,no,
Holiday Inn,Lodging,766.19,766.19,FL|TN,yes,no,
Maryland Board of Pharmacy,Government Services,761.00,761.00,TN,no,no,
la Madeleine,Restaurants,755.41,755.41,FL|TX,yes,no,
Expedia TAAP,Travel Misc,753.47,753.47,TN,no,no,
Easirent.Com Orlando,Car Rental,752.82,752.82,FL,yes,no,
Alamo,Car Rental,750.95,750.95,FL,yes,no,
Adobe,SaaS / Software,746.67,746.67,FL,yes,no,
Red Robin,Restaurants,736.07,736.07,TN,yes,no,
Gulf Oil,Fuel and Gas,735.89,735.89,TN,yes,no,
American Fire Systems,General Merchandise,732.95,732.95,FL,yes,no,
Cristina's Fine Mexican Restaurant,Restaurants,728.13,728.13,TX,no,no,
"1st Response Facility Svcs, LLC",Other,693.87,693.87,FL,yes,no,frfsfl1@gmail.com
Lady Baker,Supermarkets and Grocery Stores,690.96,690.96,FL,yes,no,
Dunkin' Donuts,Restaurants,690.28,690.28,FL|TN|TX,yes,no,
Outback Steakhouse,Restaurants,682.11,682.11,TN,yes,no,
Axia Medical Solutions,General Merchandise,674.93,674.93,TX,no,no,
Department of Regulatory Agencies,Government Services,674.00,674.00,TX,no,no,
QualCal Scale Services LLC,Other,663.57,663.57,FL,yes,no,frank@qualcaldfw.com
CRISP & GREEN,Restaurants,658.95,658.95,FL,yes,no,
Mobil@ 2935,Fuel and Gas,645.00,645.00,FL,yes,no,
Nachomama's,Restaurants,644.00,644.00,TN,yes,no,
Four Points by Sheraton,Lodging,642.00,642.00,FL,yes,no,
Crumbl Cookies,Supermarkets and Grocery Stores,638.39,638.39,FL|TN,yes,no,
Renaissance Hotels,Lodging,638.31,638.31,FL|TN,yes,no,
Quality Inn,Lodging,635.21,635.21,TN,yes,no,
Stamps.com,Shipping,612.62,612.62,FL,yes,no,
Luna Grill,Restaurants,600.88,600.88,FL,yes,no,
